Nome,Sobrenome,Email
Kainan,Rodrigues,teste@gmail.com
Kainan,Rodrigues,kainan.ars@gmail.com
Ronaldo,Ferreira,junior@mail.com
Pedro,Almeida,pedro.almeida@gmail.com
Maria,Silva,maria.silva@hotmail.com
João,Santos,joao.santos@yahoo.com
Ana,Carvalho,ana.carvalho@gmail.com
Carlos,Souza,carlos.souza@hotmail.com
Luisa,Ribeiro,luisa.ribeiro@yahoo.com
Fernando,Oliveira,fernando.oliveira@gmail.com
Bruna,Alves,bruna.alves@hotmail.com
Diego,Gomes,diego.gomes@yahoo.com
Juliana,Mendes,juliana.mendes@gmail.com
Roberto,Costa,roberto.costa@hotmail.com
Camila,Pereira,camila.pereira@yahoo.com
Lucas,Machado,lucas.machado@gmail.com
Fabiana,Sousa,fabiana.sousa@hotmail.com
